,Rank,tag,name,badgeId,trophies,memberCount,trophies_normalized,member_count_normalized
184,184,#2PL0P92V,Los Chiludos,8000026,1195643,30,0.015784476768049727,1.0
185,185,#20PCVUY,MEXIPRO,8000035,1195327,30,0.015390239125091743,1.0
186,186,#28YJPRPPP,Los Panas,8000039,1192916,30,0.01238230571632104,1.0
187,187,#28R8V299J,Hakai Knights,8000041,1192668,30,0.012072904021847686,1.0
188,188,#2G80VCPVR,⚔Bara Hunters⚔,8000037,1191671,30,0.010829059306565858,1.0
189,189,#V2UJUC90,The Office📝,8000016,1191018,30,0.010014384683618038,1.0
190,190,#29PV8PYL0,Maya Destiny,8000004,1189619,30,0.008269009802294836,1.0
191,191,#29PQG8Q2V,Jugo De Naranja,8000049,1187795,30,0.005993410242942643,1.0
192,192,#2L9PGQ8UC,TT's Origin,8000055,1187533,29,0.005666542323781387,0.8000000000000007
193,193,#YCYQ8L9,Tobbah1 Twitch,8000025,1187246,30,0.005308484717677198,1.0
194,194,#CJ00C2R,Tamalitosdeelot,8000048,1186910,30,0.004889295325164911,1.0
195,195,#20RPQYU2V,Team Leyenda,8000059,1186442,30,0.004305424385594225,1.0
196,196,#V0RUVPJ2,Pumas MX🇲🇽,8000015,1185142,30,0.002683560664564766,1.0
197,197,#2P2JRLP2L,Legión Kaktus,8000013,1185087,30,0.0026149433532904887,1.0
198,198,#9GVPLPRG,MÉXICANOS,8000013,1184301,30,0.0016343395958065,1.0
199,199,#PRC0U80G,🇲EXICO ✔️,8000029,1182991,30,0.0,1.0
