tag,name,nameColor,icon,trophies,rank,club,normalized_trophies,normalized_rank
#CPYUR8QR,KD|Buff♡,0xfff9c908,28000132,1104,186,Quant ESports🐾,0.003355704697986628,0.9296482412060302
#2JGVVPY,Nobody 🕊,0xffff8afb,28000006,1104,187,NA Friends,0.003355704697986628,0.9346733668341708
#JP9P0LJG,Byrox❤️‍🩹Xorox,0xff1ba5f5,28000302,1104,188,ᴅᴀɪʟʏ,0.003355704697986628,0.9396984924623115
#Q82Y09LVP,xTago_cL,0xff4ddba2,28000239,1104,189,Dragon Basado,0.003355704697986628,0.9447236180904522
#YVG2LJG,SN|scattered,0xff1ba5f5,28000285,1104,190,Talents,0.003355704697986628,0.949748743718593
#8GGQC0UP,SHW|Tattier,0xff1ba5f5,28000138,1104,191,MegaPigEnjoyers,0.003355704697986628,0.9547738693467337
#99YL0PV9V,𝐍𝐓|𝐋𝐮𝐢𝐬𝐮,0xffffce89,28000349,1104,192,✌️✌️✌️,0.003355704697986628,0.9597989949748743
#9VP2R0P9,ToxicZan,0xff1ba5f5,28000352,1103,193,Real Ones,0.0,0.964824120603015
#20QUGCVQ9,Mirrox 🐺,0xffffffff,28000345,1103,194,HolyPower,0.0,0.9698492462311558
#RRQQJPG2,Rabbithop,0xff1ba5f5,28000349,1103,195,we love rabbits,0.0,0.9748743718592965
#2RG0LV02,STMN | Scofield,0xff4ddba2,28000136,1103,196,vMoove,0.0,0.9798994974874372
#VRRPQ2J,ᴩᴀʙʟᴏˢᵃᵈ:'),0xffa8e132,28000018,1103,197,WOLFMX,0.0,0.9849246231155779
#2L80JP00L,Hillen,0xffff8afb,28000335,1103,198,Ex0tic-E-Sport,0.0,0.9899497487437185
#9LYQR9QC,Stas.,0xffff8afb,28000321,1103,199,Affective.,0.0,0.9949748743718593
#2JLVRQ9,STMN | Zhar,0xffa8e132,28000347,1103,200,STMN Esports,0.0,0.9999999999999999
